Município;State;Municipality; Gross Rol [%] ; Gross Rol [%] ;Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1 ;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2 ;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Jatei - MS;mato grosso do sul;Jatei; 7,65 ;7,65%;11-01 / 01-01;5;0; 172 ;01-01 / 03-01;5;0; 201 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.453,85 ; R$ 1.241,29 
Juti - MS;mato grosso do sul;Juti; 7,65 ;7,65%;11-01 / 01-01;5;0; 178 ;01-01 / 03-01;5;0; 208 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.403,50 ; R$ 1.199,72 
Laguna Carapa - MS;mato grosso do sul;Laguna Carapa; 7,65 ;7,65%;11-01 / 01-01;5;0; 181 ;01-01 / 03-01;5;0; 221 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.378,37 ; R$ 1.130,94 
Maracaju - MS;mato grosso do sul;Maracaju; 7,65 ;7,65%;11-01 / 01-01;5;0; 233 ;01-01 / 03-01;5;0; 237 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.072,43 ; R$ 1.056,20 
Mundo Novo - MS;mato grosso do sul;Mundo Novo; 7,65 ;7,65%;11-01 / 01-01;5;0; 109 ;01-01 / 03-01;5;0; 201 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 2.301,87 ; R$ 1.243,04 
Navirai - MS;mato grosso do sul;Navirai; 7,65 ;7,65%;11-01 / 01-01;5;0; 141 ;01-01 / 03-01;5;0; 201 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.769,58 ; R$ 1.241,55 
Nova Alvorada Do Sul - MS;mato grosso do sul;Nova Alvorada Do Sul; 7,65 ;7,65%;11-01 / 01-01;5;0; 210 ;01-01 / 03-01;5;0; 250 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.187,74 ; R$ 1.000,22 
Nova Andradina - MS;mato grosso do sul;Nova Andradina; 7,65 ;7,65%;11-01 / 01-01;5;0; 167 ;01-01 / 03-01;5;0; 214 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.497,18 ; R$ 1.167,41 
Novo Horizonte Do Sul - MS;mato grosso do sul;Novo Horizonte Do Sul; 7,65 ;7,65%;11-01 / 01-01;5;0; 171 ;01-01 / 03-01;5;0; 202 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.458,80 ; R$ 1.237,59 
Paraiso Das Aguas - MS;mato grosso do sul;Paraiso Das Aguas; 7,65 ;7,65%;11-01 / 01-01;5;0; 259 ;01-01 / 03-01;5;0; 344 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 966,78 ; R$ 726,87 
